2026-04-08 15:10:51,777 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_DETECTED | Details: File: app.conf, Types: ['email', 'phone_international', 'ip_address']
2026-04-08 15:10:51,777 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_MASKED | Details: Masked 6 PII items
2026-04-08 15:10:51,783 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_DETECTED | Details: File: config.xml, Types: ['email', 'phone_international', 'credit_card', 'ip_address', 'iban']
2026-04-08 15:10:51,784 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_MASKED | Details: Masked 6 PII items
2026-04-08 15:10:51,784 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_DETECTED | Details: File: db_config.py, Types: ['email', 'phone_international', 'ip_address']
2026-04-08 15:10:51,785 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_DETECTED | Details: File: archived_keys.txt, Types: ['email']
2026-04-08 15:10:51,785 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_DETECTED | Details: File: access_report.docx, Types: ['email']
2026-04-08 15:10:51,786 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_DETECTED | Details: File: credentials.txt, Types: ['email', 'phone_international', 'ip_address', 'url']
2026-04-08 15:10:51,786 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_MASKED | Details: Masked 6 PII items
2026-04-08 15:10:51,787 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_DETECTED | Details: File: admin_panel.html, Types: ['email', 'phone_international', 'credit_card', 'url', 'iban']
2026-04-08 15:10:51,787 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_MASKED | Details: Masked 1 PII items
2026-04-08 15:10:51,788 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_MASKED | Details: Masked 1 PII items
2026-04-08 15:10:51,788 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_MASKED | Details: Masked 4 PII items
2026-04-08 15:10:51,789 - [PRIVACY]- Session: 0fc3b402-5724-48dc-9331-b712e55c2cc4 | Event: PII_DETECTED | Details: File: employees.json, Types: ['email', 'phone_international', 'iban']
